SpeciesName	Species	LLR
A.thaliana	ATH	69512.59
A.thaliana	BSU	1388.188
A.thaliana	BTA	55644.270999999986
A.thaliana	CEL	458802.9329999999
A.thaliana	CIN	0
A.thaliana	NA	26.912
A.thaliana	DDI	15199.957999999982
A.thaliana	DME	238073.79300000012
A.thaliana	DRE	41071.862
A.thaliana	ECO	2294.427
A.thaliana	GGA	691.9150000000001
A.thaliana	HSA	588371.1739999999
A.thaliana	MJA	543.817
A.thaliana	MMU	446102.4969999998
A.thaliana	MTU	0
A.thaliana	OSA	0
A.thaliana	PFA	0
A.thaliana	RNO	143869.7510000001
A.thaliana	SCE	272791.90400000004
A.thaliana	SPO	12042.519999999991
A.thaliana	SSC	34018.93099999995
A.thaliana	SSO	397.491
B.subtilis	ATH	23553.731
B.subtilis	BSU	3716.518
B.subtilis	BTA	1311.793
B.subtilis	CEL	3457.541
B.subtilis	CFA	0
B.subtilis	CIN	0
B.subtilis	DDI	45.949
B.subtilis	DME	3424.977
B.subtilis	DRE	50.33
B.subtilis	ECO	8682.229
B.subtilis	GGA	5.411
B.subtilis	HSA	16590.671
B.subtilis	MJA	359.356
B.subtilis	MMU	19740.449
B.subtilis	MTU	0
B.subtilis	OSA	0
B.subtilis	PFA	3.878
B.subtilis	RNO	3598.7
B.subtilis	SCE	4979.601
B.subtilis	SPO	36.969
B.subtilis	SSC	744.1310000000001
B.subtilis	SSO	28.51
B.taurus	ATH	179624.2250000001
B.taurus	BSU	601.855
B.taurus	BTA	471884.8
B.taurus	CEL	418557.62400000007
B.taurus	CIN	0
B.taurus	NA	59.992
B.taurus	DDI	13946.380999999994
B.taurus	DME	117223.44800000002
B.taurus	DRE	21808.56099999999
B.taurus	ECO	1401.2910000000002
B.taurus	GGA	2948.7729999999997
B.taurus	HSA	702978.4799999999
B.taurus	MJA	0
B.taurus	MMU	775962.4749999999
B.taurus	MTU	0
B.taurus	OSA	0
B.taurus	PFA	147.265
B.taurus	RNO	374997.811
B.taurus	SCE	349713.17600000004
B.taurus	SPO	3327.749999999999
B.taurus	SSC	95372.26000000004
B.taurus	SSO	0
C.elegans	ATH	31134.24499999999
C.elegans	BSU	164.585
C.elegans	BTA	31407.290999999972
C.elegans	CEL	113940.15600000002
C.elegans	CIN	0
C.elegans	NA	7.125
C.elegans	DDI	2387.5020000000004
C.elegans	DME	168989.54600000003
C.elegans	DRE	6321.596999999997
C.elegans	ECO	803.284
C.elegans	GGA	277.338
C.elegans	HSA	204883.93400000004
C.elegans	MJA	70.277
C.elegans	MMU	174038.62300000002
C.elegans	MTU	0
C.elegans	OSA	0
C.elegans	PFA	17.144
C.elegans	RNO	64448.64
C.elegans	SCE	64726.483
C.elegans	SPO	2086.5350000000003
C.elegans	SSC	18403.48599999997
C.elegans	SSO	0
C.familiaris	ATH	35401.409999999996
C.familiaris	BSU	96.525
C.familiaris	BTA	26321.546999999977
C.familiaris	CEL	100857.378
C.familiaris	CFA	114867.995
C.familiaris	CIN	0
C.familiaris	DDI	2076.291000000001
C.familiaris	DME	119566.895
C.familiaris	DRE	9289.088
C.familiaris	ECO	1324.083
C.familiaris	GGA	940.3940000000002
C.familiaris	HSA	43280.312999999995
C.familiaris	MJA	107.849
C.familiaris	MMU	160791.51200000008
C.familiaris	MTU	0
C.familiaris	OSA	0
C.familiaris	PFA	499.811
C.familiaris	RNO	55924.721
C.familiaris	SCE	86600.97300000001
C.familiaris	SPO	6390.331999999998
C.familiaris	SSC	8766.766999999987
C.familiaris	SSO	47.223
C.intestinalis	ATH	723.7980000000001
C.intestinalis	BSU	0
C.intestinalis	BTA	1039.0600000000004
C.intestinalis	CEL	7114.498
C.intestinalis	CIN	5375.991
C.intestinalis	NA	0
C.intestinalis	DDI	183.551
C.intestinalis	DME	5975.282
C.intestinalis	DRE	1674.989
C.intestinalis	ECO	0
C.intestinalis	GGA	58.475
C.intestinalis	HSA	7874.867
C.intestinalis	MJA	0
C.intestinalis	MMU	12540.178
C.intestinalis	MTU	0
C.intestinalis	OSA	0
C.intestinalis	PFA	0
C.intestinalis	RNO	741.7340000000002
C.intestinalis	SCE	12126.66
C.intestinalis	SPO	0
C.intestinalis	SSC	713.1920000000001
C.intestinalis	SSO	0
D.melanogaster	ATH	63779.226
D.melanogaster	BSU	55.202
D.melanogaster	BTA	18449.969999999983
D.melanogaster	CEL	127473.227
D.melanogaster	CIN	0
D.melanogaster	NA	13.479
D.melanogaster	DDI	1756.1020000000003
D.melanogaster	DME	44476.872
D.melanogaster	DRE	8852.228999999996
D.melanogaster	ECO	209.383
D.melanogaster	GGA	238.515
D.melanogaster	HSA	160717.166
D.melanogaster	MJA	82.018
D.melanogaster	MMU	120584.813
D.melanogaster	MTU	0
D.melanogaster	OSA	0
D.melanogaster	PFA	101.475
D.melanogaster	RNO	31824.421999999995
D.melanogaster	SCE	86016.066
D.melanogaster	SPO	2078.116
D.melanogaster	SSC	11111.953999999983
D.melanogaster	SSO	33.900999999999996
D.discoideum	ATH	15464.603
D.discoideum	BSU	72.525
D.discoideum	BTA	1406.9670000000006
D.discoideum	CEL	26620.56
D.discoideum	CIN	0
D.discoideum	NA	5.6160000000000005
D.discoideum	DDI	8352.962
D.discoideum	DME	28112.666
D.discoideum	DRE	4612.275
D.discoideum	ECO	641.089
D.discoideum	GGA	59.323
D.discoideum	HSA	37843.179
D.discoideum	MJA	51.687
D.discoideum	MMU	32429.867
D.discoideum	MTU	0
D.discoideum	OSA	0
D.discoideum	PFA	88.673
D.discoideum	RNO	740.9330000000002
D.discoideum	SCE	39847.174
D.discoideum	SPO	1970.547
D.discoideum	SSC	991.5470000000004
D.discoideum	SSO	26.698
D.rerio	ATH	53475.404
D.rerio	BSU	49.806
D.rerio	BTA	68462.23500000002
D.rerio	CEL	57425.188
D.rerio	CFA	1588.975
D.rerio	CIN	0
D.rerio	DDI	469.775
D.rerio	DME	79543.084
D.rerio	DRE	51424.954
D.rerio	ECO	134.071
D.rerio	GGA	196.608
D.rerio	HSA	179237.73600000003
D.rerio	MJA	22.526
D.rerio	MMU	89897.129
D.rerio	MTU	0
D.rerio	OSA	0
D.rerio	PFA	88.263
D.rerio	RNO	16448.746
D.rerio	SCE	65483.22699999999
D.rerio	SPO	2460.948
D.rerio	SSC	1988.1270000000009
D.rerio	SSO	21.819
E.coli	ATH	20890.433
E.coli	BSU	9629.516
E.coli	BTA	1342.4840000000002
E.coli	CEL	3782.192
E.coli	CFA	0
E.coli	CIN	0
E.coli	DDI	418.361
E.coli	DME	3147.278
E.coli	DRE	29.495
E.coli	ECO	13866.525
E.coli	GGA	3.964
E.coli	HSA	7550.102
E.coli	MJA	357.225
E.coli	MMU	6058.167
E.coli	MTU	0
E.coli	OSA	0
E.coli	PFA	0
E.coli	RNO	265.827
E.coli	SCE	5119.002
E.coli	SPO	48.868
E.coli	SSC	845.9490000000001
E.coli	SSO	23.704
G.gallus	ATH	24062.68499999999
G.gallus	BSU	14.65
G.gallus	BTA	76746.99800000002
G.gallus	CEL	180608.36200000005
G.gallus	CFA	3784.901999999998
