SpeciesName	Species	LLR
A.thaliana	ATH	18255368.252999995
A.thaliana	BSU	4528.6810000000005
A.thaliana	BTA	1080566.933000002
A.thaliana	CEL	1857882.196000001
A.thaliana	CIN	0
A.thaliana	NA	4443.249
A.thaliana	DDI	172248.7619999998
A.thaliana	DME	1949451.0620000004
A.thaliana	DRE	104666.44999999998
A.thaliana	ECO	23967.568
A.thaliana	GGA	8417.500000000002
A.thaliana	HSA	4336724.164
A.thaliana	MJA	6225.990000000001
A.thaliana	MMU	4177476.497
A.thaliana	MTU	0
A.thaliana	OSA	0
A.thaliana	PFA	0
A.thaliana	RNO	1414827.2099999988
A.thaliana	SCE	754182.5999999999
A.thaliana	SPO	54624.516
A.thaliana	SSC	631989.3040000016
A.thaliana	SSO	2273.093
B.subtilis	ATH	57005.235
B.subtilis	BSU	632137.7459999998
B.subtilis	BTA	4310.054
B.subtilis	CEL	10725.709
B.subtilis	CFA	0
B.subtilis	CIN	0
B.subtilis	DDI	612.669
B.subtilis	DME	20384.072
B.subtilis	DRE	88.37
B.subtilis	ECO	43650.417
B.subtilis	GGA	23.445
B.subtilis	HSA	21366.338
B.subtilis	MJA	1756.186
B.subtilis	MMU	12122.734
B.subtilis	MTU	0
B.subtilis	OSA	0
B.subtilis	PFA	29.517
B.subtilis	RNO	5802.364
B.subtilis	SCE	11198.502
B.subtilis	SPO	171.57500000000002
B.subtilis	SSC	1020.872
B.subtilis	SSO	31.29
B.taurus	ATH	2576527.2290000003
B.taurus	BSU	303.853
B.taurus	BTA	9849121.133000009
B.taurus	CEL	955545.423999999
B.taurus	CIN	0
B.taurus	NA	599.257
B.taurus	DDI	97972.576
B.taurus	DME	2010838.9270000015
B.taurus	DRE	96001.817
B.taurus	ECO	9182.901
B.taurus	GGA	1964.9699999999991
B.taurus	HSA	11620851.803
B.taurus	MJA	0
B.taurus	MMU	8147348.490999995
B.taurus	MTU	0
B.taurus	OSA	0
B.taurus	PFA	3241.994
B.taurus	RNO	4528327.481000003
B.taurus	SCE	178433.86299999998
B.taurus	SPO	5083.317000000002
B.taurus	SSC	1680391.3690000004
B.taurus	SSO	0
C.elegans	ATH	907411.263
C.elegans	BSU	1193.688
C.elegans	BTA	715198.1820000004
C.elegans	CEL	10804220.298999866
C.elegans	CIN	0
C.elegans	NA	234.824
C.elegans	DDI	16835.855000000007
C.elegans	DME	1452384.843
C.elegans	DRE	33409.505
C.elegans	ECO	1478.252
C.elegans	GGA	3227.5110000000004
C.elegans	HSA	3504281.995
C.elegans	MJA	1194.143
C.elegans	MMU	2200401.564
C.elegans	MTU	0
C.elegans	OSA	0
C.elegans	PFA	2539.118
C.elegans	RNO	871409.1130000004
C.elegans	SCE	102138.859
C.elegans	SPO	19995.719
C.elegans	SSC	296944.5640000001
C.elegans	SSO	0
C.familiaris	ATH	1099086.375
C.familiaris	BSU	1088.473
C.familiaris	BTA	945992.7669999996
C.familiaris	CEL	1436385.2569999995
C.familiaris	CFA	2948967.9919999987
C.familiaris	CIN	0
C.familiaris	DDI	33180.96400000001
C.familiaris	DME	1993535.0449999992
C.familiaris	DRE	11793.854
C.familiaris	ECO	1012.33
C.familiaris	GGA	20103.269
C.familiaris	HSA	5722719.402999999
C.familiaris	MJA	2764.451
C.familiaris	MMU	1315384.958
C.familiaris	MTU	0
C.familiaris	OSA	0
C.familiaris	PFA	1367.564
C.familiaris	RNO	1339320.8600000006
C.familiaris	SCE	175758.41200000004
C.familiaris	SPO	31901.447
C.familiaris	SSC	383151.188
C.familiaris	SSO	216.156
C.intestinalis	ATH	154896.505
C.intestinalis	BSU	0
C.intestinalis	BTA	67835.808
C.intestinalis	CEL	296090.189
C.intestinalis	CIN	17610.894
C.intestinalis	NA	0
C.intestinalis	DDI	4879.972000000002
C.intestinalis	DME	193205.89100000003
C.intestinalis	DRE	9277.098
C.intestinalis	ECO	0
C.intestinalis	GGA	2164.647
C.intestinalis	HSA	331225.91000000003
C.intestinalis	MJA	0
C.intestinalis	MMU	183786.395
C.intestinalis	MTU	0
C.intestinalis	OSA	0
C.intestinalis	PFA	0
C.intestinalis	RNO	93783.406
C.intestinalis	SCE	15263.532
C.intestinalis	SPO	0
C.intestinalis	SSC	48404.598999999995
C.intestinalis	SSO	0
D.melanogaster	ATH	729095.001
D.melanogaster	BSU	743.37
D.melanogaster	BTA	359875.8770000001
D.melanogaster	CEL	438919.759
D.melanogaster	CIN	0
D.melanogaster	NA	295.643
D.melanogaster	DDI	30102.906000000003
D.melanogaster	DME	6410362.688
D.melanogaster	DRE	24001.398
D.melanogaster	ECO	905.812
D.melanogaster	GGA	3950.181000000001
D.melanogaster	HSA	2081459.464
D.melanogaster	MJA	455.075
D.melanogaster	MMU	1866329.335
D.melanogaster	MTU	0
D.melanogaster	OSA	0
D.melanogaster	PFA	3197.4040000000005
D.melanogaster	RNO	552603.8950000004
D.melanogaster	SCE	134745.32700000002
D.melanogaster	SPO	11153.994
D.melanogaster	SSC	210075.3019999999
D.melanogaster	SSO	36.526
